"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Three Categories of Environmental Regulation","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","The US Clean Air Act","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","NAAQS: The Six Criteria Pollutants","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","California, CARB, and the Section 209 Waiver","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Gasoline: From Leaded to Tier 3","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Diesel: ULSD and the Catalyst Link","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Operational Safety: Spills, Pipelines, and Tanks","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Greenhouse Gas Regulation","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Methane: The Other Oil and Gas Greenhouse Gas","processed","Major section summarized in structured notes"
"S1","web page","Environmental Regulations","https://oil101.morgandowney.com/chapters/environmental","Vehicle Fuel Economy and Tailpipe GHG Rules","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
