"source_id","source_type","title","url_or_path","chapter_section","coverage","notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Feedstock, Slate, and Refinery Gain","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","The Four Stages of Refining","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Separation: The Crude Distillation Unit","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Conversion: Where Margin Is Made","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Combining: Alkylation and Polymerization","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Modifying: Catalytic Reforming, Isomerization, Ethers","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Treatment: Hydroprocessing, Amine, Merox, Claus","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Bitumen, Lubricants, Waxes, and Grease","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Blending: Where Finished Product Is Born","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Refinery Types and the Nelson Complexity Index","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","US Refining Geography and the PADDs","processed","Major section summarized in structured notes"
"S1","web page","Refining","https://oil101.morgandowney.com/chapters/refining","Turnaround Season","processed","Major section summarized in structured notes"
"S2","web table of contents","Oil 101 Table of Contents","https://oil101.morgandowney.com/chapters","book navigation","processed","Used for chapter sequence and directory placement"
